num,located,located2,moni_address,lon,lat,stat,st_code,pm2_5,geom,pm10,o3,no2,co,so2
48,경기,대부동,경기 안산시 단원구 대부중앙로 97-9 대부동 행정복지센터,126.5847945,37.24359445,정좌표,031,53,0101000020E61000005D18E9456DA55F405A1E5A1A2E9F4240,99,0.112,0.043,0.5,0.004
64,경기,봉산동,경기 안성시 시청길 25 안성시청 식당동,127.2803041,37.00734201,정좌표,031,38,0101000020E6100000D29B9B80F0D15F40206B3E95F0804240,60,0.115,0.014,0.4,0.003
26,경기,가남읍,경기도 여주시 가남읍 태평중앙1길 20 가남읍행정복지센터 옥상,127.5448773,37.20166023,정좌표,031,50,0101000020E61000004CF50945DFE25F407E609E00D0994240,92,0.119,0.012,0.4,0.004
49,경기,대신면,경기도 여주시 대신면 율촌1길 12-10 대신도서관 옥상,127.5844577,37.37146563,정좌표,031,31,0101000020E61000004ED944C167E55F4012388E2F8CAF4240,74,0.113,0.012,0.3,0.008
206,충남,인주면,충청남도 아산시 인주면 인주산단로 23-28 인주면 측정소,126.8792255,36.87315139,정좌표,041,44,0101000020E6100000CB13083B45B85F40E340BC6CC36F4240,98,0.09,0.031,0.4,0.009
137,인천,구월동,인천 남동구 구월말로 7(구월동) 구월4동 행정복지센터 옥상,126.7240627,37.44963442,정좌표,032,40,0101000020E61000003930140B57AE5F402987E49E8DB94240,78,0.065,0.039,0.6,0.004
419,전남,영암읍,전라남도 영암군 영암읍 낭주로 202-2 영암 종합스포츠타운 야구장,126.7012941,34.8072483,정좌표,061,24,0101000020E61000002D18A600E2AC5F4034208CE953674140,53,0.079,0.014,-1,0.006
77,경기,소사본동,경기 부천시 경인옛로 73 소사어울마당 소향관,126.7999474,37.48004678,정좌표,031,49,0101000020E61000004B61945632B35F403753422C72BD4240,105,0.079,0.029,0.5,0.004
61,경기,복정동,경기 성남시 수정구 성남대로 1416번길 22 복정정수장,127.1286998,37.45627984,인근좌표,031,41,0101000020E61000001D00169E3CC85F40E34FB76067BA4240,77,0.111,0.02,0.6,0.003
72,경기,상대원동,경기 성남시 중원구 둔촌대로 425 상대원1동행정복지센터,127.1643862,37.43321349,정좌표,031,19,0101000020E61000007A3AB24D85CA5F4036DE258A73B74240,66,0.088,0.027,0.4,0.002
66,경기,부곡동1,경기 안산시 상록구 성호로 326 부곡동 행정복지센터,126.861092,37.33178834,정좌표,031,27,0101000020E610000039B69E211CB75F4040BF520A78AA4240,88,0.087,0.019,0.4,0.005
88,경기,안양2동,경기 안양시 만안구 안양로 384번길 50 안양2동 행정복지센터,126.9178325,37.40508688,정좌표,031,-1,0101000020E61000002EAD86C4BDBA5F40C0D10AE3D9B34240,-1,-1,-1,-1,-1
49,경기,대신면,경기도 여주시 대신면 율촌1길 12-10 대신도서관 옥상,127.5844577,37.37146563,정좌표,031,31,0101000020E61000004ED944C167E55F4012388E2F8CAF4240,74,0.113,0.012,0.3,0.008
204,충남,예산군,충남 예산군 예산읍 신흥길 63 (다목적 노인회관 옥상),126.8489273,36.67740506,정좌표,041,49,0101000020E61000009F8B2BD354B65F40266C8135B5564240,89,0.123,0.016,0.5,0.006
